ticker,name,nav,navUnit,navChange,navChange1w,navChange1m,navChange3m,navChange6m,navChange9m,navChangeYtd,navChange1y
561800,华富稀有金属,1.1067,人民币,1.50%,4.99%,--,--,--,--,--,--
159713,富国稀土ETF,1.0897,人民币,2.75%,3.50%,--,--,--,--,--,--
516150,嘉实稀土产业,1.589,人民币,1.93%,2.37%,6.77%,37.92%,--,--,--,--
516780,华泰稀土ETF,1.4797,人民币,2.06%,2.51%,7.18%,39.49%,32.26%,--,--,--
515210,国泰钢铁ETF,2.135,人民币,1.27%,4.59%,8.08%,17.01%,24.86%,32.19%,34.30%,37.69%
515220,国泰中证煤炭ETF,2.1663,人民币,2.50%,3.81%,11.77%,16.68%,30.21%,30.06%,30.05%,42.24%
515790,华泰光伏ETF,1.7672,人民币,2.95%,0.10%,5.30%,28.89%,28.85%,--,31.39%,--
516180,平安光伏产业ETF,1.4235,人民币,3.54%,0.13%,6.92%,37.22%,40.90%,--,--,--
516290,添富光伏产业ETF,1.082,人民币,4.75%,0.14%,--,--,--,--,--,--
159863,鹏华光伏产业,1.69,人民币,3.05%,0.17%,6.11%,32.73%,40.82%,--,--,--
159864,国泰光伏50ETF,1.0603,人民币,5.19%,-0.58%,5.69%,--,--,--,--,--
159876,华宝有色ETF,1.5453,人民币,1.25%,1.42%,5.59%,20.97%,--,--,--,--
159871,银华有色金属,1.4998,人民币,1.29%,1.51%,5.82%,21.38%,--,--,--,--
159881,国泰有色ETF,1.383,人民币,1.39%,1.55%,6.17%,--,--,--,--,--
159880,鹏华有色金属50ETF,1.4755,人民币,1.12%,1.69%,5.13%,19.01%,--,--,--,--
512400,南方有色金属ETF,1.5619,人民币,1.22%,1.57%,5.37%,19.20%,20.49%,39.67%,33.85%,50.76%
516650,华夏有色50ETF,1.3889,人民币,1.40%,1.77%,6.02%,--,--,--,--,--
516680,建信有色金属ETF,1.2951,人民币,1.47%,1.67%,6.33%,23.42%,26.15%,--,--,--
159767,兴银电池龙头,1.0131,人民币,0.00%,-3.90%,--,--,--,--,--,--
159840,工银锂电池50,1.0099,人民币,0.00%,-3.92%,--,--,--,--,--,--
159757,景顺电池50,1.0116,人民币,0.00%,-3.90%,-0.59%,--,--,--,--,--
